Município [-];Código [-];Gentílico [-];Prefeito [2021];Área Territorial - km² [2020];População estimada - pessoas [2020];Densidade demográfica - hab/km² [2010];Escolarização <span>6 a 14 anos</span> - % [2010];IDHM <span>Índice de desenvolvimento humano municipal</span> [2010];Mortalidade infantil - óbitos por mil nascidos vivos [2019];Receitas realizadas - R$ (×1000) [2017];Despesas empenhadas - R$ (×1000) [2017];PIB per capita - R$ [2018]
Angra dos Reis;3300100;angrense;FERNANDO ANTÔNIO CECILIANO JORDÃO;813,42;207044;205,45;96,4;0,724;9,41;1048674,53;844589,2681;44590,88
Aperibé;3300159;aperibeense;RONALD DE CÁSSIO DAIBES MOREIRA;94,542;11901;107,92;96,7;0,692;14,49;44282,03729;51373,38482;15625,88
Araruama;3300209;araruamense;LIVIA SOARES BELLO DA SILVA;638,276;134293;175,55;98,3;0,718;13,03;319409,473;300538,0737;20480,15
Areal;3300225;arealense;JOSÉ AUGUSTO BERNARDES LIMA;110,724;12669;102,99;98;0,684;25,97;59613,31119;53040,68042;25200,29
Armação dos Búzios;3300233;buziano;ALEXANDRE DE OLIVEIRA MARTINS;70,977;34477;392,16;97,6;0,728;8,31;239846,2337;201183,5162;76723,42
Arraial do Cabo;3300258;cabista;MARCELO MAGNO FELIX DOS SANTOS;152,106;30593;172,91;99,2;0,733;8,87;129189,8957;134584,6904;42927,02
Barra do Piraí;3300308;barrense;MARIO REIS ESTEVES;584,61;100764;163,7;98,7;0,733;12,5;222231,6373;201994,1888;20602,24
Barra Mansa;3300407;barra-mansense;RODRIGO DRABLE COSTA;547,133;184833;324,94;98,4;0,729;14,76;506164,1276;464462,8159;28067,77
Belford Roxo;3300456;belford-roxense;WAGNER DOS SANTOS CARNEIRO;78,985;513118;6031,38;96,2;0,684;13,18;612861,7444;612697,5304;15598,12
Bom Jardim;3300506;bom-jardinense;PAULO VIEIRA DE BARROS;382,43;27616;65,86;97,4;0,66;14,45;91360,93363;83619,01202;24638,06
Bom Jesus do Itabapoana;3300605;bom-jesuense;PAULO SERGIO TRAVASSOS DO CARMO CYRILLO;596,659;37203;59,13;98,1;0,732;17,14;99483,01549;98359,22036;20586,07
Cabo Frio;3300704;cabo-friense;JOSÉ BONIFÁCIO FERREIRA NOVELLINO;413,449;230378;453,75;96,9;0,735;15,09;822362,4781;818453,9692;49297,56
Cachoeiras de Macacu;3300803;cachoeirense;RAFAEL MUZZI DE MIRANDA;954,749;59303;56,9;98,4;0,7;8,43;203269,8749;178476,2494;17638,69
Cambuci;3300902;cambuciense;MAXWELL VIEIGA GUIMARAES;558,281;15514;26,4;98,8;0,691;6,37;60667,69616;55295,19124;21730,91
Carapebus;3300936;carapebuense;CHRISTIANE MIRANDA DE ANDRADE CORDEIRO;304,885;16586;43,36;98,7;0,713;-;90008,6306;83993,54822;32536,67
Comendador Levy Gasparian;3300951;gaspariense;CLAUDIO MANNARINO;108,639;8576;76,53;99,4;0,685;-;44262,30107;33734,12898;45550,65
Campos dos Goytacazes;3301009;campista;WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA;4032,487;511168;115,16;97,3;0,716;14,51;1734229,741;1663244,704;64186,76
Cantagalo;3301108;cantagalense;JOAQUIM AUGUSTO CARVALHO DE PAULA;747,21;20168;26,47;95,4;0,709;19,14;93794,6147;81315,03497;36562,36
Cardoso Moreira;3301157;cardosense;GEANE CORDEIRO VINCLER;522,596;12821;24,02;98,6;0,648;24,39;65619,6093;53678,19872;21776,17
Carmo;3301207;carmense;SÉRGIO LUIZ PERES SOARES;305,749;19030;54,15;98,6;0,696;14,56;73908,7174;68920,76148;24286,12
Casimiro de Abreu;3301306;casimirense;RAMON DIAS GIDALTE;462,918;45041;76,71;98,5;0,726;6,85;238054,0715;197770,7116;50532,71
Conceição de Macabu;3301405;macabuense;JOSÉ SEBASTIÃO CASTRO;338,26;23398;61,08;98,8;0,712;24;92675,0408;64298,1721;15397,59
Cordeiro;3301504;cordeirense;LEONAN LOPES MELHORANCE;113,048;22041;175,59;97,6;0,729;8,47;67314,3707;59630,11708;23270,95
Duas Barras;3301603;bibarrense;FABRÍCIO LUIZ LIMA AYRES;379,619;11528;29,14;97,8;0,659;14,39;55450,03514;47376,02088;18294,71
Duque de Caxias;3301702;caxiense;WASHINGTON REIS DE OLIVEIRA;467,319;924624;1828,51;96,1;0,711;16,4;2318008,292;2369382,239;45490,61
Engenheiro Paulo de Frontin;3301801;fronteense;JOSÉ EMMANOEL RODRIGUES ARTEMENKO;139,381;14071;99,57;98,5;0,722;28,17;53998,99492;48664,81496;18695,44
Guapimirim;3301850;guapimiriense;MARINA PEREIRA DA ROCHA FERNANDEZ;358,443;61388;142,7;97,6;0,698;5,8;172263,999;155768,4702;16377,56
Iguaba Grande;3301876;iguabense;VANTOIL MEDEIROS MARTINS;50,977;28837;439,91;98,1;0,761;19,18;96566,76913;97610,62304;17622,8
Itaboraí;3301900;itaboraiense;MARCELO JANDRE DELAROLI;429,961;242543;506,55;97,1;0,693;15,44;498361,4107;497033,4555;18746,84
Itaguaí;3302007;itaguaiense;RUBEM VIEIRA DE SOUZA;282,606;134819;395,45;97,6;0,715;16,65;474597,1221;544374,1086;63968,12
Italva;3302056;italvense;LEONARDO ORATO RANGEL;291,193;15299;47,86;98,6;0,688;17,44;59608,75981;46723,61088;20276,49
Itaocara;3302106;itaocarense;GEYVES MAIA VIEIRA;433,182;23222;53,09;99,6;0,713;10,75;73911,91663;68792,41058;23342,04
Itaperuna;3302205;itaperunense;ALFREDO PAULO MARQUES RODRIGUES;1106,694;103800;86,71;96,1;0,73;12,08;305348,6322;296249,4535;27161,66
Itatiaia;3302254;itatiaiense;EDUARDO GUEDES DA SILVA;241,035;32064;117,41;98,2;0,737;12,99;197629,2373;164176,8649;156381,39
Japeri;3302270;japeriense;FERNANDA MACHADO ONTIVEROS;81,697;105548;1166,37;96,6;0,659;9,41;203388,4773;179170,4982;13825,88
Laje do Muriaé;3302304;lajense;EUDOCIO MOREIRA CARDOZO;253,53;7326;29,95;98;0,668;14,29;44499,2588;33296,32771;18429,06
Macaé;3302403;macaense;WELBERTH PORTO DE REZENDE;1216,989;261501;169,89;96,9;0,764;11,4;2108814,271;1844434,307;61223,07
Macuco;3302452;macuquense;BRUNO ALVES BOARETTO;78,364;5623;67,8;97,7;0,703;8,85;41488,87674;34540,7887;27532,14
Magé;3302502;mageense;RENATO COZZOLINO HARB;390,775;246433;585,13;97,7;0,709;18,31;443815,4811;447218,0206;15926,84
Mangaratiba;3302601;mangaratibano;ALAN CAMPOS DA COSTA;367,606;45220;102,29;96,7;0,753;16,89;301823,5876;272530,5362;82215,21
Maricá;3302700;maricaense;FABIANO TAQUES HORTA;361,572;164504;351,55;96,4;0,765;9,38;1203483,638;946012,8412;171003,42
Mendes;3302809;mendense;JORGE HENRIQUE COSTA DE OLIVEIRA;95,324;18648;184,83;99,3;0,736;-;64660,86934;53547,31787;17324,86
Mesquita;3302858;mesquitnese;JORGE LUCIO FERREIRA MIRANDA;41,169;176569;4310,48;97,9;0,737;12,75;253623,6815;268065,5862;12879,91
Miguel Pereira;3302908;miguelense;ANDRÉ PINTO DE AFONSECA;287,933;25581;85,21;98,6;0,745;11,59;106192,5863;93976,29358;23125,78
Miracema;3303005;miracemense;CLÓVIS TOSTES DE BARROS;303,27;27154;88,15;97,5;0,713;15,5;90834,10025;85542,7762;19458,25
Natividade;3303104;natividadense;SEVERIANO ANTONIO DOS SANTOS REZENDE;387,073;15311;39;98,6;0,73;11,56;70014,94738;64357,39468;18319,22
Nilópolis;3303203;nilopolitano;ABRAÃO DAVID NETO;19,393;162693;8117,62;96,7;0,753;11,01;301803,894;293685,3251;17270,92
Niterói;3303302;niteroiense;AXEL SCHMIDT GRAEL;133,757;515317;3640,8;97;0,837;9,98;2767516,395;2462638,231;78854,6
Nova Friburgo;3303401;friburguense;JOHNNY MAYCON CORDEIRO RIBEIRO;935,429;191158;195,07;98,7;0,745;11,13;465474,0341;417390,4411;27435,52
Nova Iguaçu;3303500;iguaçuano;ROGERIO MARTINS LISBOA;520,581;823302;1527,6;96,2;0,713;13,58;1389627,362;1415601,639;20538,67
Paracambi;3303609;paracambiense;LUCIMAR CRISTINA DA SILVA FERREIRA;190,949;52683;262,27;96,1;0,72;6,19;124289,9222;109450,5525;18799,04
Paraíba do Sul;3303708;sul-paraibano;DAYSE DEBORAH ALEXANDRE NEVES;571,118;44518;70,77;98,6;0,702;18,83;113471,063;110489,4085;22562,99
Paraty;3303807;paratiense;LUCIANO DE OLIVEIRA VIDAL;924,296;43680;40,57;93,8;0,693;16,98;217654,6046;211378,4671;61447,75
Paty do Alferes;3303856;patiense;EURICO PINHEIRO BERNARDES NETO;314,341;27858;82,68;97,7;0,671;10,44;94832,45755;74699,25564;19606,08
Petrópolis;3303906;petropolitano;BERNARDO CHIM ROSSI;791,144;306678;371,85;97,4;0,745;13,57;997314,7186;972655,1417;41456,25
Pinheiral;3303955;pinheiralense;EDNARDO BARBOSA OLIVEIRA;82,254;25364;296,86;96,7;0,715;14,93;82483,14409;78865,22006;21732,84
Piraí;3304003;piraiense;ARTHUR HENRIQUE GONÇALVES FERREIRA;490,255;29545;52,07;97,7;0,708;15,92;193050,7001;162303,9484;63885
Porciúncula;3304102;porciunculense;LEONARDO PAES BARRETO COUTINHO;291,847;18960;58,8;99,1;0,697;12,24;76753,24877;70690,16281;18689,85
Porto Real;3304110;porto realense;ALEXANDRE AUGUSTUS SERFIOTIS;50,892;19974;326,95;98,9;0,713;12,1;150221,33;142407,0496;147371,58
Quatis;3304128;quatiense;"ALUÍSIO MAX ALVES D&apos;ELIAS";284,826;14435;44,72;97,6;0,69;18,29;65127,00292;52943,46404;18706,57
Queimados;3304144;queimadense;GLAUCO BARBOSA HOFFMAN KAIZER;75,927;151335;1822,6;95,7;0,68;17,72;310553,3924;288190,1534;24050,05
Quissamã;3304151;quissamaense;MARIA DE FÁTIMA PACHECO;719,643;25126;28,4;98,5;0,704;9,71;205808,9787;175980,4207;101931,44
Resende;3304201;resendense;DIOGO GONÇALVES BALIEIRO DINIZ;1099,336;132312;109,35;97;0,768;15,07;540030,0934;417280,4297;64649,16
Rio Bonito;3304300;rio-bonitense;LEANDRO PEREIRA NETTO;459,458;60573;121,7;97,2;0,71;13,25;173570,3747;188480,1231;27755,96
Rio Claro;3304409;rio-clarense;JOSE OSMAR DE ALMEIDA;846,797;18605;20,81;97,7;0,683;9,17;96894,79133;81520,87468;21763,04
Rio das Flores;3304508;rio-florense;VICENTE DE PAULA DE SOUZA GUEDES;478,783;9344;17,9;98,5;0,68;-;47768,51715;46492,10566;22263,47
Rio das Ostras;3304524;rio ostrense;MARCELINO CARLOS DIAS BORBA;228,044;155193;461,38;98,2;0,773;13,7;590854,1744;433485,3222;58789,09
Rio de Janeiro;3304557;carioca;EDUARDO DA COSTA PAES;1200,329;6747815;5265,82;96,9;0,799;12,15;26018740,29;26572047,26;54426,08
Santa Maria Madalena;3304607;madalenense;CARLOS ALBERTO DE MATOS BOTELHO;810,963;10392;12,67;98,3;0,668;36,7;56550,95226;48045,36228;17415,87
Santo Antônio de Pádua;3304706;paduano / paduense;PAULO ROBERTO PINHEIRO PINTO;603,633;42594;67,27;98,1;0,718;13,04;124492,2637;114148,4016;25660,26
São Francisco de Itabapoana;3304755;são-franciscano;FRANCIMARA AZERÊDO DA SILVA BARBOSA LEMOS;1118,037;42210;36,84;98;0,639;18,9;130703,5058;119247,5232;24249,19
São Fidélis;3304805;fidelense;AMARILDO HENRIQUE ALCÂNTARA;1034,833;38710;36,39;97,1;0,691;14,22;103821,359;101339,7424;17997,75
São Gonçalo;3304904;gonçalense;NELSON RUAS DOS SANTOS;248,16;1091737;4035,9;96,7;0,739;14,47;1064524,128;1051761,388;17167,6
São João da Barra;3305000;são-joanense;CARLA MARIA MACHADO DOS SANTOS;452,396;36423;71,96;97,5;0,671;13,06;328328,9;276058,7271;199339,81
São João de Meriti;3305109;meritiense;JOAO FERREIRA NETO;35,216;472906;13024,56;96,6;0,719;15,19;585396,7492;627408,8125;19726,47
São José de Ubá;3305133;ubaense;GEAN MARCOS PEREIRA DA SILVA;249,688;7206;27,98;99,2;0,652;9,9;43973,36859;33290,60842;28715,35
São José do Vale do Rio Preto;3305158;rio-pretano;GILBERTO MARTINS ESTEVES;220,178;21916;91,87;98,4;0,66;9,84;66871,50357;60327,99037;24555,29
São Pedro da Aldeia;3305208;aldeense;CARLOS FABIO DA SILVA;332,488;106049;264,05;97,9;0,712;14,74;220068,485;211045,4779;22259,41
São Sebastião do Alto;3305307;altense;ALIF RODRIGUES DA SILVA;397,214;9387;22,35;94,6;0,646;20,2;49727,88665;46162,23507;21801,76
Sapucaia;3305406;sapucaiense;BRENO JOSÉ DE SOUZA JUNQUEIRA;540,673;18249;32,35;97,3;0,675;16,04;83254,72213;75003,28822;40457,4
Saquarema;3305505;saquaremense;MANOELA RAMOS DE SOUZA GOMES ALVES;352,13;90583;209,96;96,3;0,709;7,99;302249,5434;247728,1383;35244,56
Seropédica;3305554;seropedicense;LUCAS DUTRA DOS SANTOS;265,189;83092;275,53;97,5;0,713;14,98;231967,3821;186899,8636;51442,5
Silva Jardim;3305604;silva-jardinense;WANDERSON GIMENES ALEXANDRE;937,755;21774;22,77;98,8;0,654;11,07;140087,5328;119905,9886;21389,03
Sumidouro;3305703;sumidourense;ELIESIO PERES DA SILVA;413,407;15667;37,67;93,5;0,611;12,15;67426,72601;55359,93986;28758,27
Tanguá;3305752;tanguaense;RODRIGO DA COSTA MEDEIROS;143,007;34610;211,21;98,1;0,654;17,86;93356,38756;89046,69428;16249,55
Teresópolis;3305802;teresopolitano;VINICIUS CARDOSO CLAUSSEN DA SILVA;773,338;184240;212,49;96,2;0,73;12,92;461159,0705;443127,6738;28503,62
Trajano de Moraes;3305901;trajanense;RODRIGO FREIRE VIANA;591,151;10640;17,44;98,4;0,667;9,35;55090,26805;49211,94293;18452,36
Três Rios;3306008;trirriense;JOACIR BARBAGLIO PEREIRA;322,843;82142;237,42;97,9;0,725;16,18;264323,7664;250872,1443;48575,26
Valença;3306107;valenciano;LUIZ FERNANDO FURTADO DA GRAÇA;1300,767;76869;55,06;97,7;0,738;14,35;186322,9048;167226,2019;33675,61
Varre-Sai;3306156;varresaiense;SILVESTRE JOSE GORINI;201,938;11106;49,85;96,8;0,659;-;53100,92583;42821,87075;17174,75
Vassouras;3306206;vassourense;SEVERINO ANANIAS DIAS FILHO;536,073;37083;63,94;98,8;0,714;18,29;137029,5821;122405,9148;26624,86
Volta Redonda;3306305;volta-redondense;ANTONIO FRANCISCO NETO;182,105;273988;1412,75;98,5;0,771;12,27;869283,5664;825227,0683;50606,58
